"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0093.JPG"	"IMG_0093.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:07 20:00:00"	"T"	"0 0"	63	2	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-07_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0094.JPG"	"IMG_0094.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:08 08:00:00"	"T"	"0 0"	64	2	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-08_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0095.JPG"	"IMG_0095.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:08 20:00:00"	"T"	"0 0"	65	2	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-08_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0096.JPG"	"IMG_0096.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:09:07"	"M"	"1 2"	16	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0097.JPG"	"IMG_0097.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:09:07"	"M"	"2 2"	16	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0098.JPG"	"IMG_0098.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:12:53"	"M"	"1 2"	17	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0099.JPG"	"IMG_0099.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:12:53"	"M"	"2 2"	17	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0100.JPG"	"IMG_0100.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:23:23"	"M"	"1 2"	18	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0005.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0101.JPG"	"IMG_0101.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:23:24"	"M"	"2 2"	18	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0006.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0102.JPG"	"IMG_0102.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:31:47"	"M"	"1 2"	19	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0007.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0103.JPG"	"IMG_0103.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:31:47"	"M"	"2 2"	19	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0008.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0104.JPG"	"IMG_0104.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:44:41"	"M"	"1 2"	20	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0009.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0105.JPG"	"IMG_0105.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 02:44:41"	"M"	"2 2"	20	2	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0010.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0106.JPG"	"IMG_0106.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 08:00:00"	"T"	"0 0"	66	2	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0011.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0107.JPG"	"IMG_0107.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:09 20:00:00"	"T"	"0 0"	67	2	6	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-09_0012.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0108.JPG"	"IMG_0108.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:10 08:00:00"	"T"	"0 0"	68	3	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-10_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0109.JPG"	"IMG_0109.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:10 17:45:39"	"M"	"1 2"	21	3	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-10_0002.JPG"
